description,title,course,prerequisite,department,unit
"Assessing Children with Disabilities (CWD),A survey of psychological testing with emphasis on the evaluation, administration, interpretation, and statistical analysis of the results of psychological testing devices and techniques.",Assessing Children with Disabilities (CWD),TEACHING 6150,None,Liberal Arts and Education,3
"Educational Media Technology,Considers audio and visual materials that comprise educational media; laboratory activities for use, design, and development of instructional media; communication theory; selection, utilization, and production of materials; micro-computer applications and the operation of equipment.",Educational Media Technology,Graduate Course,Main Campus,TEACHING 6020,2
"Key Concepts of Middle Level Education,Provides students with an understanding of the philosophy and organization of middle level education. C: TEACHING 5120.",Key Concepts of Middle Level Education,TEACHING 5110,None,Liberal Arts and Education,2
"Advising, Interaction and Communication,Focuses on the classroom affective skills required of middle school teachers including listening, group dynamics, encouragement, and non-verbal communication. C: TEACHING 6620.","Advising, Interaction and Communication",TEACHING 6220,None,Liberal Arts and Education,2
"Transitions for Children with Disabilities,Transition services is about life skills, not just about school-to-work. Transition services apply to all ages, including pre-school. Students ask and respond to the question: What is it that each student needs in order to have a good quality life? Areas covered include: employment/education; home/family; leisure pursuits; community involvement; emotional/physical health; personal responsibility/relationships. Course focuses on students with special needs.",Transitions for Children with Disabilities,TEACHING 6200,None,Liberal Arts and Education,3
"International Finance,This course is a comprehensive study of the role of international finance in business.  Topics will include the foreign exchange market, determination of interest rates, international banking, international capital markets, international investments and international corporate finance. P: BUSADMIN 3620 (BUSADMIN 5620) or equivalent, or permission of the department chair.",International Finance,BUSADMIN 5650,P: BUSADMIN 3620 (BUSADMIN 5620),"Bus, Inds, Life Sci, Ag",3
"Teaching Transescents,Provides an overview of the curricular and instructional practices appropriate for the young adolescent learner. Addresses issues, trends, and research relevant to effective middle level practices through service learning projects. C: TEACHING 6220.",Teaching Transescents,TEACHING 6620,None,Liberal Arts and Education,2
"Learning and Language Disorders,Reviews Pre-Kindergarten/kindergarten through young adult development and identification with children with disabilities (CWD); emphasizes diagnosis and remediation of learning disorders through a special education approach; studies appropriate learning environments.",Learning and Language Disorders,TEACHING 6630,None,Liberal Arts and Education,3
"Working with Families of Children with Disabilities,Students learn to help pupils with special needs and their families become advocates and full partners in the educational process. Information relative to family dynamics, needs and concerns, multiple types of families, school consultations practices, working with agencies, and communication skills are all covered in this course.",Working with Families of Children with Disabilities,TEACHING 6730,None,Liberal Arts and Education,2
"Strategies for Effective Inclusion,Current trends and issues in special education, the role of the general education teacher, and characteristics of students with various disabilities will be discussed. Adaptations and modifications in curriculum, instruction, and assessment for students with various exceptionalities will be a major focus of this course.",Strategies for Effective Inclusion,TEACHING 6830,None,Liberal Arts and Education,3
"Research Procedures,Definition of problems and issues, critical examination of the research literature, review of trends in curricula and methods, and planning of investigations including historical, descriptive (including ethnographic), and experimental.",Research Procedures,TEACHING 7000,None,Liberal Arts and Education,3
"Current Topics in Education,Study of a selected topic determined by an identified need. For example: current issues, ideas, and topics of interest to a particular group of teachers. P: consent of instructor.",Current Topics in Education,TEACHING 6530,None,Liberal Arts and Education,1 - 4
"Public Relations in School and Community,Designed primarily for school personnel and other community residents. Emphasizes the importance of designing programs around the needs and problems of the school and community; considers economic, social, and political characteristics of communities; methods of assessment, communication, involvement, and conflict resolution. Includes activities and programs such as bond referenda, advisory committees, volunteers, public relations, etc.; considers organization, operation, implementation, and evaluation of school/community relations programs.",Public Relations in School and Community,TEACHING 7050,None,Liberal Arts and Education,3
"Corporate Finance,An introduction to the finance function and financial management of the firm, including techniques of financial analysis, working capital management, capital budgeting, the acquisition and management of corporate capital, and dividend policy. Analysis of how the financial manager influences the decision-making process within the firm. P: One year undergraduate accounting or graduate equivalent or consent of instructor or department chair.",Corporate Finance,BUSADMIN 5620,None,"Bus, Inds, Life Sci, Ag",3
"Oral Language and Emergent Literacy,Considers development of communication, acquisition of language, development of phonology, structure of language, dialect variations, how language is acquired, assessment of language and communication skills, and classroom approaches to oral language development.",Oral Language and Emergent Literacy,TEACHING 6420,None,Liberal Arts and Education,3
"Middle Level Education Block I,Characteristics of middle level students are studied with a focus on the physical, intellectual, emotional, social, and moral development of the young adolescent.  The course provides students with an introductory understanding of the philosophy and organization of middle level education.  Emphasis is directed toward programmatic consideration as a response to the developmental needs of the transescent learner.",Middle Level Education Block I,TEACHING 5140,None,Liberal Arts and Education,3
"Administration and Family Relations in Early Childhood,Development of managerial and leadership roles, knowledge of requirements for certification and licensing, effective communication with staff and parents, and community relations and advocacy.",Administration and Family Relations in Early Childhood,TEACHING 6330,None,Liberal Arts and Education,3
"Oral Language, Emergent Literacy, and Theories of Second Language Acquisition (TESOL),This course is designed for the graduate TESOL emphasis to be offered to students from the People's Republic of China.  It includes Oral Language and Emergent Literacy topics, plus content on the theories of second language acquisition that are part of most TESOL programs and usually taught within the context of acquiring oral language.","Oral Language, Emergent Literacy, and Theories of Second Language Acquisition (TESOL)",TEACHING 7150,None,Liberal Arts and Education,3
"Characteristics of Transescents,Introduces the characteristics of young adolescents with a focus on their physical, intellectual, emotional, and social development. C: TEACHING 5110.",Characteristics of Transescents,TEACHING 5120,None,Liberal Arts and Education,2
"The PreK-12 Literacy Program,The PreK-12 Literacy Program considers a well-rounded reading program; development of basic language and literacy abilities and skills; improvement of attitudes and tastes; and adjustment of materials and methods to individual needs.",The PreK-12 Literacy Program,TEACHING 7210,None,Liberal Arts and Education,3
"Introduction to Reading Difficulties,Provides strategies for teaching skills to children who read one or two grade levels below expectation, as evidenced by data collection to determine specific instructional needs. Identification of struggling readers, selection, application, and evaluation of materials and techniques appropriate to individual differentiation are included.",Introduction to Reading Difficulties,TEACHING 7220,None,Liberal Arts and Education,3
"Practicum in Reading Difficulties,Provides laboratory practice with children one or more years below grade in reading. Special attention is given to models of teaching designed to promote developmentally appropriate teaching and reflective thinking. P: TEACHING 7220 or equivalent.",Practicum in Reading Difficulties,TEACHING 7230,P: Teaching 7220,Liberal Arts and Education,3
"Juvenile Literature,Provides advanced study in literature for children and youth; administration of a recreational reading program; methods of teaching and integration with other curricular areas; and evaluation and selection of significant books and appraisals of recent books. Students read at the level in which they are most interested - primary, intermediate, or middle level school.",Juvenile Literature,TEACHING 7240,None,Liberal Arts and Education,3
"Educational Leadership and Mentoring,This course is designed to improve teachers' skills in the process of mentoring beginning teachers and collaborating with veteran teachers.  Mentoring is defined as the professional practice that provides support, assistance, and guidance to new teachers to promote their professional growth and success.  Collaborating is developing collegial peer coaching relationships designed to enhance professional efficacy.  Course topics include understanding of value added leadership in education; practicing ethics of education; reflection; impact of student learning through professional development efforts; and mentoring, particularly as it relates to PI-34.",Educational Leadership and Mentoring,TEACHING 7190,None,Liberal Arts and Education,3
"Improving Instructional Effectiveness,Connects principles of learning to teaching practices; demonstrates how theory can become practice; considers models of teaching that promote developmentally appropriate teaching and reflective thinking; characterizes teaching as a process of conscious decision-making; helps teachers become more effective at decision-making.",Improving Instructional Effectiveness,TEACHING 7130,None,Liberal Arts and Education,3
"Content Area Reading,Considers the utilization of reading skills, study strategies, and materials as applied to (a) selected field(s), and techniques for incorporating reading into content area instruction.",Content Area Reading,TEACHING 7250,None,Liberal Arts and Education,3
"Seminar in Reading,Examines current issues and trends in reading education. Includes pertinent topics such as foundations of reading instruction; current approaches to teaching beginning reading; individual differences in reading performance; and factors that affect reading acquisition.",Seminar in Reading,TEACHING 7280,None,Liberal Arts and Education,3
"Developmentally Appropriate Practice - Teaching Methods,In this course students and professors develop course units, in the context of the cohort individual and district needs, as well as the developmental concepts that are central to the course.  The concepts for this course include dimensions of literacy, integrated curriculum, teaching strategies, assessment, diagnosis, evaluation, and instructional content and practice.",Developmentally Appropriate Practice - Teaching Methods,TEACHING 7080,None,Liberal Arts and Education,3
"Educational Administration Relationships,This module will address the following: personnel issues, classroom management, community relations, school climate, relationships with district offices, school board members, professional judgement, school culture, diversity issues, and leadership and management styles. P: TEACHING 7340.  Co-requisite: 1 credit of TEACHING 7400.",Educational Administration Relationships,TEACHING 7350,None,Liberal Arts and Education,1 - 4
"Developmentally Appropriate Practice - The Learners,In this course students and professors develop course units, in the context of the cohort individual and district needs, as well as the developmental concepts that are central to the course.  The concepts for this course include theories of cognition, brain development, characteristics of learners, and critical thinking.",Developmentally Appropriate Practice - The Learners,TEACHING 7070,None,Liberal Arts and Education,3
"Educational Administration Systems I,The Systems I module is designed to prepare prospective administrators to effectively manage the organizations, operations, and resources of a school system in order to ensure a safe, efficient, and effective learning environment that will promote the success of all students. P: TEACHING 7340, TEACHING 7350 and TEACHING 7360.",Educational Administration Systems I,TEACHING 7370,None,Liberal Arts and Education,4
"Educational Administration Student Learning,Designed to prepare prospective administrators to be instructional leaders in their school. This course is built around the Wisconsin Standards. Students in this course are expected to demonstrate a knowledge and experience base in the Ten Teaching Standards for Wisconsin and how these standards transfer into effective classroom activities. P: TEACHING 7350.",Educational Administration Student Learning,TEACHING 7360,None,Liberal Arts and Education,1 - 4
"School and Community Culture,This course will explore the teacher's role in the Culture of the School and Community.  Some of the issues include addressing diverse populations; school and community culture and resources; philosophical, historical, legal, and social science perspectives in education; special education; working with families; managing student behavior and social skills interactions; and communication and collaborative partnerships.",School and Community Culture,TEACHING 7180,None,Liberal Arts and Education,3
"Educational Administration Introduction Seminar,The module will be an overview of the Educational Administration Program. Included will be an explanation of the Cohort Model as well as a detailed discussion of the remaining five modules. Each student will complete a self-assessment of their knowledge of the Ten Teaching Standards for Wisconsin and write a Professional Development Plan. Special permission only.",Educational Administration Introduction Seminar,TEACHING 7340,None,Liberal Arts and Education,2
"Educational Administration Legal Aspects (Regular and Special Education),Legal Issues for School Administrators. Participants develop a working knowledge of law as it relates to functioning as a school administrator. Researching and resolving legal issues impacting school operations using practical problem situations forms the focus. In addition, relevant statutory and case law are included. P: TEACHING 7370.",Educational Administration Legal Aspects (Regular and Special Education),TEACHING 7380,None,Liberal Arts and Education,1 - 4
"Exploring Innovations in Education,In this course, learners will explore the impact and value of recent innovations in education. The changing face of technology, development models, regulations, and ethical, sociocultural and political perspectives will be surveyed. Students will examine innovative teaching methods and modalities and how these can affect the planning for and facilitation of learning. How learning takes place most effectively when using alternative and flexible learning options will be questioned. Innovations in supportive technology for students with special needs, new ideas in learning space design, and trends in training and education (at various levels) will also be explored.",Exploring Innovations in Education,TEACHING 7440,None,Liberal Arts and Education,3
"Educational Administration Practicum 2,The local school administrator (school mentor) and the university supervisor (practicum coordinator) will work with the Ed Admin candidate for a minimum of 200 hours to design a series of events, activities, and experiences in the school setting as an administrator (i.e., monitoring students, conducting professional development, observing faculty, reviewing curriculum, creating and implementing schedules, leading parent and/or student conferences, and communicating with others in the community or on the school board). This course will provide candidates the opportunity to deepen their understanding of educational administration issue and practices, and then critically evaluate their own skills based on their own reflection and the guided work of their mentors and the university supervisor. P: TEACHING 7350, TEACHING 7370, TEACHING 7380, TEACHING 7390, TEACHING 7400.",Educational Administration Practicum 2,TEACHING 7410,None,Liberal Arts and Education,1
"Educational Administration Practicum 1,The local school administrator (school mentor) and the university supervisor (practicum coordinator) will work with the Ed Admin candidate for a minimum of 100 hours to design a series of events, activities, and experiences in the school setting as an administrator (i.e., monitoring students, conducting professional development, observing faculty, reviewing curriculum, creating and implementing schedules, leading parent and/or student conferences, and communicating with others in the community or on the school board). This course will provide candidates the opportunity to deepen their understanding of educational administration issues and practices, and then critically evaluate their own skills based on their own reflection and the guided work of their mentors and the university supervisor.  P: TEACHING 7340 and TEACHING 7360.  Coreq: TEACHING 7350.",Educational Administration Practicum 1,TEACHING 7400,None,Liberal Arts and Education,1
"Administration of Special Education & Pupil Service,This course provides P-12 administrators or administrative candidates instruction and practice at the district level with assessment, planning, and coordination of district-level exceptional education and also pupil services.",Administration of Special Education & Pupil Service,TEACHING 7470,None,Liberal Arts and Education,3
"Administration and Director of Instruction,This course will address the duties and responsibilities of the position of Director of Instruction including interacting with other administrators, parents, students and the community with curriculum and instruction, staff development and overall program coordination around these topics.",Administration and Director of Instruction,TEACHING 7460,None,Liberal Arts and Education,3
"Symposium on Reflection and Critical Thinking,This course serves as a capstone experience for graduate students in the M.S.E. program.  The purpose of the course is to guide and consult with students to help them as they apply the outcomes of their graduate program to practice.  Students meet in a symposium setting to: develop and discuss readings as well as the process of reflection to application; discuss the application of their graduate coursework in their classrooms; explore the use of reflection with their students; and to explore self-actualization as a product of reflection.",Symposium on Reflection and Critical Thinking,TEACHING 7290,None,Liberal Arts and Education,3
"Advanced Special & Regular Education Curriculum, Technology, Staff Development & Assessment,This course will address the responsibilities of a Director in Special Education in interacting with other administrators, parents, students and the community with curriculum and instruction, staff development, and overall program coordination around these topics.","Advanced Special & Regular Education Curriculum, Technology, Staff Development & Assessment",TEACHING 7450,None,Liberal Arts and Education,3
"Program Planning for Adults,Examines program development concepts, approaches, and practices used for planning, conducting, and evaluating programs for adults.  Analyzes the framework for identifying relationships among learner goals, content, format, setting, learning objectives, learning activities, and outcomes.  Develops processes and procedures for identifying and addressing educational needs and interest.  Analyzes tools for managing financial and non-financial resources.  Develops strategies for conducting formative and summative evaluation of program elements.",Program Planning for Adults,TEACHING 7540,None,Liberal Arts and Education,3
"The Adult Learner,Analysis of educational principles and instructional models will be applied to the instruction of adults.  Emphasis will be on the teaching/learning transactions that encourage and assist adults in their learning activities.  Characteristics of the adult learner and historical and current perspectives of adult education in both formal and informal settings also will be covered.",The Adult Learner,TEACHING 7550,None,Liberal Arts and Education,3
"Portfolio Development and Competency Review,Each student will develop a portfolio to document competencies (knowledge, skills, and dispositions related to teaching students with disabilities). This portfolio is a format for the documentation of this learning in a structured manner. P:Student must be licensed teachers or emergency licensed special education teachers.",Portfolio Development and Competency Review,TEACHING 7610,None,Liberal Arts and Education,3
"Supervision and Administration of Reading Programs,Examines the organization, administration, supervision, and improvement of school-wide reading programs.",Supervision and Administration of Reading Programs,TEACHING 7520,None,Liberal Arts and Education,3
"Special Education: Legal and Theoretical Foundations,Participants will develop a working knowledge of law (e.g.-IDEA 1997) as it relates to the rights and responsibilities of students, staff, and families. Participants will also incorporate knowledge of historical foundations, service delivery models, philosophies, and cultural diversity into the general and/or special education classroom.",Special Education: Legal and Theoretical Foundations,TEACHING 7620,None,Liberal Arts and Education,3
"Topics in Education,Examines current, critical issues on the state, national, and international levels; service course in education.",Topics in Education,TEACHING 7500,None,Liberal Arts and Education,3
"Professional Development,In this course students and professors develop professional development plans, in the context of the cohort individual and district needs, as well as the professional development concepts that are central to the course.  The concepts for this course include technology, professional self-assessment, reflection, application of research in professional practices, best practices, professional networking, community outreach, professional development plans, lifelong learning, planning and managing the teacher and the learning environment, and professional and ethical practices.",Professional Development,TEACHING 7170,None,Liberal Arts and Education,3
"Reading in the Middle/Secondary School,Assists middle and secondary teachers in utilizing fundamental reading skills as they apply to content areas; special consideration will be given to effective skills, study skills, and vocabulary development in specific areas.",Reading in the Middle/Secondary School,TEACHING 7270,None,Liberal Arts and Education,3
"Second Language Acquisition in K-12 Classrooms,This course examines theories of second language acquisition, and practical application of theories to second language teaching and learning.  The course provides a comprehensive interdisciplinary survey of theory and practice through the application of research in linguistics, psychology, education, and sociology into second language acquisition.  P: Students have to hold a teaching license or be licensable.",Second Language Acquisition in K-12 Classrooms,TEACHING 7670,None,Liberal Arts and Education,3
"Intercultural Communication for Teachers of English Language Learners,In this course, we will examine the impact that culture has on verbal and nonverbal communication.  Participants will consider the nature of cultural patterns.  They will learn to better interpret the behaviors they observe in their classrooms and in the public schools in general.  The overall goal of the course is for participants to become competent in their intercultural interactions with students, parents, and colleagues in the K-12 setting.  P: Students have to hold a teaching license or be licensable.",Intercultural Communication for Teachers of English Language Learners,TEACHING 7680,None,Liberal Arts and Education,3
"Linguistics for Teachers of English Language Learners,This course is designed to introduce the nature of language, and to examine the language system, and how meaning is structured. In particular, the course will focus on the core areas of linguistics including phonetics (the study of speech sounds), phonology (the sound system of languages), morphology (the internal structure of words), syntax (the sentence structure), and semantics (the study of word and sentence meanings). Students in this course will relate this information to the education of ELLs and learn ways through which linguistics can inform their own teaching.  P: Students have to hold a teaching license or be licensable.",Linguistics for Teachers of English Language Learners,TEACHING 7690,None,Liberal Arts and Education,3
"Methods and Assessment of Teaching English Language Learners,This course is designed to examine methods and assessment of teaching English language learners.  The course stresses a comprehensive understanding of the history of first and second language teaching methods from the past to the present, including knowledge of the traditional, contemporary, and innovative methods and approaches in teaching English language learners.  Practical pedagogical principles of teaching English to speakers of other languages with regard to language skills, language system, and related assessment and cultural implications are included.  P: Students have to hold a teahcing license or be licensable.",Methods and Assessment of Teaching English Language Learners,TEACHING 7660,None,Liberal Arts and Education,3
"Educational Administration Systems II,The Systems II module is an extension of the Systems I module with an emphasis on simulations and practicum projects. P: TEACHING 7380.  Co-requisite: 1 credit of TEACHING 7400.",Educational Administration Systems II,TEACHING 7390,None,Liberal Arts and Education,4
"Introduction to Visual Impairment,A study of educational services for student with visual impairments that may also include other disabilities.   An emphasis is placed on the psychosocial effects and the unique learning needs of students with visual impairment.  Course components allow candidates to meet some of the requirements for certification in the teaching area of visual impairment.  The course is also appropriate as an elective for teachers in other areas. The course will enable the teacher to understand the impact of low vision on the individual and the classroom and provide the teacher with some strategies to create an inclusive classroom that enhances the experiences and learning of the child with low vision.",Introduction to Visual Impairment,TEACHING 7720,None,Liberal Arts and Education,3
"Braille Code and Communication I,This course will provide basic skills in braille transcription and codes and provide resources for additional information and assistance.  In addition to learning how to use braille and provide transcriptions, candidates will learn how to teach braille to individuals with low vision.",Braille Code and Communication I,TEACHING 7730,None,Liberal Arts and Education,3
"Principles of Orientation, Mobility and Assistive Technology for Students with Visual Impairments,This course will provide a combined theoretical and clinical experience in principles and strategies for helping students with visual impairments with their orientation and mobility and with assistive technology to help students with orientation, mobility and learning.","Principles of Orientation, Mobility and Assistive Technology for Students with Visual Impairments",TEACHING 7740,None,Liberal Arts and Education,3
"Bilingual and Bicultural Education,This course provides a comprehensive study of the bilingual and bicultural education in the United States. It will investigate bilingualism from a variety of perspectives including foundation in history, current policies, theory, research, and practice of bilingual/bicultural education. Students in this course will also review and evaluate bilingual instruction including bilingual program models, curriculum design, methods, and assessment.",Bilingual and Bicultural Education,TEACHING 7710,None,Liberal Arts and Education,3
"Methods and Issues of Teaching Students with Visual Impairments,This course is designed to examine methods and issues of teaching students with Visual Impairments. The course stresses a comprehensive understanding of the history of visual impairment teaching methods from the past to the present, including knowledge of the traditional, contemporary, and innovative methods and approaches. Practical pedagogical principles of teaching students with visual impairments will be examined in relation to language skills, language system, and related assessment implications.",Methods and Issues of Teaching Students with Visual Impairments,TEACHING 7750,None,Liberal Arts and Education,3
"Ethical Practices in Teaching Children with Disabilities,Provides an overview of the effects of cultural and environmental backgrounds on students with disabilities and their families, and fosters an understanding of how personal and cultural biases may affect one's teaching and interactions with others.  The course stresses the ethical and professional responsibilities of teachers.",Ethical Practices in Teaching Children with Disabilities,TEACHING 7640,None,Liberal Arts and Education,2
"Anatomy and Physiology of the Eye and Implications of Low Vision,This course provides the medical and educational implications of visual impairments including the anatomy and physiology of the eye, impact of lighting, and environmental adaptations for students.  The ophthalmological, functional and low vision examinations and results will be reviewed in scenarios including reading and interpreting medical reports with the ability to convey to others, and to design appropriate educational and environmental adaptations.",Anatomy and Physiology of the Eye and Implications of Low Vision,TEACHING 7760,None,Liberal Arts and Education,3
"Teaching Secondary Methods,This course has been organized around a logical approach to teaching young adult learners, in areas taught that correspond with the edTPA.  These sections are: 1) how students learn, process, and utilize information, 2) how to plan for teaching content and academic language 3) how to instruct and 4) how to assess your students and yourself.",Teaching Secondary Methods,TEACHING 7480,None,Liberal Arts and Education,3
"Cross-Categorical Special Education Practicum,The practicum in SLD/EBD/or CD is required in lieu of student teaching for graduate students in the Cross-Categorical Licensure Certification Program. Students will have a teaching experience under the supervision of a master teacher and/or field coordinator in a school, clinic, or other setting that provides practical application of theory, experience, and evidence of mastery of skills required by the Wisconsin Department of Public Instruction Code.",Cross-Categorical Special Education Practicum,TEACHING 7960,None,Liberal Arts and Education,3 - 6
"Graduate Practicum in Teaching,Provides a designed clinical teaching assignment for (1) graduate students meeting license requirements through an internship, or (2) qualified educators who want to meet a professional development need through a graduate residency. P: consent of the Director of the School of Education.",Graduate Practicum in Teaching,TEACHING 7880,None,Liberal Arts and Education,1 - 8
"Supervision of Student Teachers,Designed for teachers currently or potentially involved in supervision of student teachers; includes the identification, analysis, and development of good classroom procedures; desirable experiences for the student teacher in the total school program; professional responsibilities of the student teacher in the school and community. P: three years of teaching experience or consent of instructor.",Supervision of Student Teachers,TEACHING 7970,None,Liberal Arts and Education,3
"Braille Code and Communication II,This course will provide intermediate skills in braille transcription and codes and provide resources for additional information and assistance.  In addition to learning how to use braille and provide transcriptions, candidates will learn how to teach braille to individuals with low vision.  The purpose of the course and subsequent courses is to prepare the candidate to be certified as a teacher of braille.",Braille Code and Communication II,TEACHING 7770,None,Liberal Arts and Education,3
"Issues in ELL Education,This course addresses the social, political, and cultural context in which language learning takes place and examines those issues that are relevant in language acquisition.  Themes, such as immigration and diversity in the United States, language policies, history of bilingual education, the English-only movement, and English language learners and disability will be analyzed in this course.  P: Students have to hold a teaching license or be licensable.",Issues in ELL Education,TEACHING 7650,None,Liberal Arts and Education,3
"Seminar Paper,The seminar paper need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper and a seminar paper advisor.  An approved seminar paper proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper,TEACHING 7830,P: TEACHING 7000,Liberal Arts and Education,3
"Instructional Content and Practice,This course will place emphasis on strategies, remediation, compensation, instructional methods, curriculum, and inclusive practices in the instructional setting.",Instructional Content and Practice,TEACHING 7630,None,Liberal Arts and Education,3
"Warehousing and Distribution Management,This course provides students with an understanding of the concepts and theories that drive the effective management of an organization's warehousing and distribution systems. The course will cover topics that include warehousing Layout, Design & Configuration, Receiving, Delivery, Material Storage, as well as Distribution strategies, Distribution Network planning, Distribution ERP systems (WMS), System routing, Cross-dock, trucking & tracking. Lean Supply Systems: JIT/Push, Shipping and Transportation mechanisms.",Warehousing and Distribution Management,ISCM 7520,P: ISCM 7100,Distance Learning Graduate,3
"Outsourcing,This course will provide a historical perspective on outsourcing and offshoring, the marketplace, and the incentives for firms around the globe to tap into sourcing opportunities. It will examine the various sourcing arrangements available according to the nature of work outsourced. the geographical aspects in sourcing decisions, as well as examining certain vendor characteristics and desired core capabilities of the vendor. It will consider vendor selection strategy and outsourcing lifecycle from a client's viewpoint. Finally it will review trends and emerging issues in the area of global sourcing, including reshoring. (subject to addition and change as course is further developed)",Outsourcing,ISCM 7610,P: ISCM 7100,Distance Learning Graduate,3
"Customer Relationship Management,Customer Relationship Management (CRM) is a business strategy that aims to understand, anticipate and manage the needs of an organization's current and potential customers. This course will introduce critical concepts and methods such as customer value, customer asset value, CRM vision and strategy.",Customer Relationship Management,ISCM 7700,P: ISCM 7100,Distance Learning Graduate,3
"Import/Export,This course covers the major facets of the import-export transactions and procedures required to do business overseas successfully. The focus is on practical applications, ranging from understanding the objectives of parties involved in importing and exporting to basics of letters of credit, packaging, and transporting shipments. The course will cover cross-cultural differences, role of banks and freight forwarders; foreign currency management; and documents used in international trade.  (subject to addition and change as course is further developed)",Import/Export,ISCM 7510,P: ISCM 7100,Distance Learning Graduate,3
"Field Experience in Cultural Diversity,This course provides the opportunity for students to gain in-depth firsthand knowledge of the cultural background of English language learners.  Particular attention will be given to techniques that encourage and secure parental involvement.  Positive effects of special programs for ELLs will also be emphasized in this course.  P: Students have to hold a teaching license or be licensable.",Field Experience in Cultural Diversity,TEACHING 7700,None,Liberal Arts and Education,3
"Integrated Supply Chain Management Capstone,This course draws on the concepts, theories and techniques, specifically emphasizing the role of the supply chain manager in implementing and accomplishing project plans and objectives. Students may draw on topics from their workplace or may choose from projects provided by companies in our local area requesting consulting services in developing feasibility studies and project proposals. Note that the ability to assign such a ""real world"" project depends on the availability of companies interested in such analyses at the time.  P:  Consent of instructor and all required foundation and core courses.",Integrated Supply Chain Management Capstone,ISCM 7840,None,Distance Learning Graduate,3
"Seminar Paper Research,Based on individual interest and consultation with an advisor, the student will be required to write an advanced research paper on a specific topic; the independent empirical research should serve as a capstone to the student's education experience and as a bridge to the student's future in the supply chain management discipline.  P: all coursework toward the degree must be completed prior to registering for ISCM 7920.",Seminar Paper Research,ISCM 7920,None,Distance Learning Graduate,3
"REVERSE LOGISTICS,The course highlights the principles and concepts of reverse logistics, and provides an overview of detailed procedures and techniques for the design, implementation, and control of reverse logistics strategies. The topics covered in this course will be:  customer returns, product value extraction, cross functional collaboration, reverse logistics revenue costs reduction strategies, and reverse logistics revenue generation strategies.  The focus of the course will be on reverse logistical flows starting with the customer.  As a result, customer behavior and coordination will be key elements pertaining to each of the topics above.",REVERSE LOGISTICS,ISCM 7720,P: ISCM 7700 (Customer Relations Management) CRM,Distance Learning Graduate,3
"Special Topics in Integrated Supply Chain Management,Designed to present to students specialized topics in the field of Integrated Supply Chain Management depending upon interest of students and approval of staff.  P: ISCM 7100.",Special Topics in Integrated Supply Chain Management,ISCM 7940,None,Distance Learning Graduate,1 - 3
"Independent Study in Education,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor, the Director of the School of Education and the Dean of The School of Graduate Studies. Approval must be secured before independent study courses begin. Students registering for independent study must submit at or before registration a description of the subject to be covered. This description must be signed by the instructor conducting the independent study, the department chairperson, the Dean of the School of Graduate Studies, and the student. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Education,TEACHING 7980,None,Liberal Arts and Education,1 - 3
"Industrial Design for Production,Study of design principles, production methods and simultaneous manufacturing techniques. Emphasis is on understanding and application of the design process.  Laboratory activities focus on the design and production of a product.  (Fall) P: INDUSTDY 1030 and INDUSTDY 1230.",Industrial Design for Production,INDUSTDY 5950,None,Distance Learning Graduate,3
"Thesis Research,Completion and defense of a carefully delineated scholarly work advancing an original point of view as a result of research. The topic chosen must reflect the student's area of emphasis, if any, and must be approved by a thesis committee.  P: INDUSTDY 7000 and completion of all other coursework.",Thesis Research,ISCM 7990,None,Distance Learning Graduate,3
"Production Planning and Control,An investigation and study of the integrated approach of effective management practices associated with production planning, scheduling, and control. Operation strategy, quality of work life, global competition, lean manufacturing, forecasting methods, supply chain management practices, scheduling and plant facilities layout are stressed.  (Fall, Spring)  P: INDUSTDY 1030.",Production Planning and Control,INDUSTDY 6950,None,Distance Learning Graduate,3
"Research Methodology,Introduction and background to the scientific method of inquiry, types of research, problem clarification, data gathering techniques, research data analysis, and proposal and research paper writing.",Research Methodology,INDUSTDY 7000,None,Distance Learning Graduate,3
"International Supply Chain Management,This course focuses on the importance of international supply chain management. It provides an overview of international logistics, global strategy for logistics and supply chain management, as well as structuring of the global supply chain. The international trade environment, total cost approach of materials, competitive relationships among international organizations, exchange fluctuations, practices of import/export, and other related topics will be explored.  P: graduate standing and BUSADMIN 2100/BUSADMIN 6100 or consent of instructor.",International Supply Chain Management,ISCM 7100,P: BUSADMIN 6100,Distance Learning Graduate,3
