description,title,course,prerequisite,department,unit
"Independent Study,Advanced study in the area of specialization.",Independent Study,"Engineering, Math and Science",None,Mechanical Engineering,1 - 3
"Thermo-Fluid Systems Design,A course treating the concepts of Thermodynamics, Fluid Mechanics, Heat Transfer, and mechanics in a unified presentation.  Particular emphasis will be directed towards applications to actual physical systems including the gas power cycles, refrigeration cycles, heat exchangers, ideal gas mixtures, psychrometrics and 1st law combustion.  Some design of devices involved in these applications will also be included.",Thermo-Fluid Systems Design,Lecture - Required,Main Campus,MECHENG 4730,3
"Undergraduate Research,Introduction to research methods in mechanical engineering, literature review, data analysis, and design. A written report will be submitted to the sponsoring faculty member. A student may register for two to three credits in a given semester for a maximum of three credits.",Undergraduate Research,"Engineering, Math and Science",None,Mechanical Engineering,2 - 3
"Senior Design Project,Team based projects, primarily from industry.  Rigorous application of design processes and methods.  Consideration of real-life technical, economic, social, aesthetic, environmental and other constraints.  Consideration of several related topics such as creativity, analysis, synthesis, project management, scheduling, time management, engineering ethics, communication, personality types, product safety and liability, copyrights and patents, design for manufacture, economics, and robust engineering.  Integration of technical and management knowledge in an open-ended design environment.  Oral and written reports.  Open to graduating seniors only.",Senior Design Project,Lecture - Required,Main Campus,MECHENG 4930,3
"Wood Technology,An introduction to basic woodworking processes used by industry.  The design process and problem solving are emphasized through development of a portfolio.  A problem is identified by the student, then solved through the construction and testing of a project.",Wood Technology,INDUSTDY 1130,INDUSTDY 1010 Principles of Safety and Risk Management,"Bus, Inds, Life Sci, Ag",3
"AC/DC Fundamentals,Students study direct and alternating current circuits and their characteristics, Ohm's Law, Kirchhoff's Laws, voltage dividers, power, etc.  Labs are performed using multimeters, oscilloscopes, circuit simulation software, and breadboards.",AC/DC Fundamentals,INDUSTDY 1200,P:  INDUSTDY 1010 and Math placement level of 15 or MATH 15,"Bus, Inds, Life Sci, Ag",3
"Introduction to Manufacturing,An introduction to manufacturing principles, systems, and operations.  The relationship of manufacturing to the major technological systems (Energy/power, Communication, Construction, and Transportation) is examined.  Product development/engineering design is simulated through use of 3-D software.",Introduction to Manufacturing,INDUSTDY 1030,None,"Bus, Inds, Life Sci, Ag",3
"Mechatronics,Study of electro-mechanical systems and their interfaces.  Programming of microcontrollers, fractional-horsepower motors, sensors, programmable logic controllers (PLC's), and control electronics.  Binary number systems and logic are introduced.  Application of control theory.  Project.",Mechatronics,MECHENG 4830,P: Must be in a degree granting program; C:  MECHENG 4330,"Engineering, Math and Science",3
"Power Systems Technology,An analysis of methods of transferring industrial power. The basic principles of applied mechanisms, electrical actuators, control systems, engines and introductory pneumatics and hydraulics are emphasized in the course.",Power Systems Technology,INDUSTDY 1530,P: INDUSTDY 1010 Principles of Safety and Risk Management,"Bus, Inds, Life Sci, Ag",3
"Introduction to Plastics Processing,The course is designed to cover the history and evolution of plastics synthesis and processing, while highlighting the important material properties that have driven current processing techniques.  Safety and material testing are also emphasized as we discuss basic and established processing methods and explore advanced techniques used today and on the horizon.",Introduction to Plastics Processing,INDUSTDY 1830,P: INDUSTDY 1010; C: INDUSTDY 1030,"Bus, Inds, Life Sci, Ag",3
"Building Construction Drafting,An introduction to basic drafting techniques as it pertains to building construction.  The principles of defining shape and size are studied utilizing computer aided drafting techniques.  Topics include sketching, projection, architectural dimensioning, sections detail views, print reading, and components of residential and commercial building structures.",Building Construction Drafting,INDUSTDY 1260,P:  Math placement level of 15 or MATH 15,"Bus, Inds, Life Sci, Ag",3
"Building Construction Materials,A study of the properties and application of building materials including concrete, block and brick masonry as they are related to residential and commercial building construction.  Lab includes the introduction to 3D CAD modeling of buildings and the drawing of building details as they pertain to the building materials.",Building Construction Materials,INDUSTDY 2430,P:  INDUSTDY 1260,"Bus, Inds, Life Sci, Ag",3
"Thermal Systems Laboratory,Instrumentation and measurement techniques in thermal systems; verification of basic principles; laboratory tests on  components of thermal systems; experimental approach for solving engineering problems; application of computer to data acquisition and data processing.",Thermal Systems Laboratory,"Engineering, Math and Science",None,Mechanical Engineering,2
"Technical Drafting,An introduction to basic drafting techniques as a means of graphic communication. The principles of defining shape and size are studied utilizing computer aided drafting techniques.  Activities deal with precise, applied graphic representation including precision and limit dimensioning associated with a variety of industrial situations.",Technical Drafting,INDUSTDY 1230,P: Math placement level of 15 or MATH 15,"Bus, Inds, Life Sci, Ag",3
"General Industry OSHA 30 Hour,A comprehensive, yet practical study of safety management principles and concepts for general industry designed for ITM/Occupational Safety Management majors/minors. Students learn various management strategies for the identification, evaluation, and correction of unsafe behaviors in the work place. Emphasis is placed on reduction of  injuries, fatalities, and accidents in general industries such as manufacturing, healthcare, warehousing, distribution and retail through application of OSHA 29 CFR 1910. Upon successful completion of class (attendance required) students receive the OSHA 30 Hour card.",General Industry OSHA 30 Hour,INDUSTDY 3130,P: INDUSTDY 1010,"Bus, Inds, Life Sci, Ag",3
"General Construction Estimating,Principles, theories, and systems of general construction estimating; quantity survey techniques; standard forms; material costs and labor pricing; and the use of computer estimating software.",General Construction Estimating,INDUSTDY 3140,P:  INDUSTDY 2430 and COMPUTER 1830,"Bus, Inds, Life Sci, Ag",3
"Introduction to Metals Processes,An introductory course surveying metalworking processes.  Designed to impart academic and laboratory understanding of the fundamental principles of: machining, fabrication techniques, welding, casting and other metals manufacturing processes.",Introduction to Metals Processes,INDUSTDY 3050,P: INDUSTDY 1010 and (ENGLISH 1130 or ENGLISH 1040) and (Math placement level 15 or MATH 15); C: INDUSTDY 1030 or AGET 1750,"Bus, Inds, Life Sci, Ag",3
"Computer-Aided Engineering,Use of current tools in the design and simulation of mechanical systems. Generation of a paperless project, including solid modeling and computer assembly of mechanical systems, system dynamic analysis, and system optimization.  Interfaces between various computer software packages and the creation of computer routines to extend built in software modeling capabilities.",Computer-Aided Engineering,MECHENG 4850,"P: ""C-"" or better in MECHENG 3830. Must be in a degree granting program.","Engineering, Math and Science",3
"Construction Safety Management,A practical study of construction safety management principles and concepts are covered in this course designed for Building Construction Management majors or minors and Occupational Safety Management majors or minors.  The course includes various management strategies for the identification, evaluation and correction of unsafe behaviors in effort to reduce injuries, fatalities and accidents on the construction site.  Emphasis is also placed on the understanding of selected Code of Federal Regulations # 1926 OSHA Construction Industry Standards utilized in the development of a safe and healthy working environment.",Construction Safety Management,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Construction Laboratory,Laboratory and field experience in basic carpentry and masonry principles, concrete forming, brick and block laying, estimating, scheduling and related areas.",Construction Laboratory,INDUSTDY 3210,P:  INDUSTDY 1130 and INDUSTDY 2430,"Bus, Inds, Life Sci, Ag",3
"Machining and CNC Programming,An intermediate course combining academic and laboratory principles of machining, Computer Numerical Control (CNC), computer assisted part programming, and CAD/CAM.  Several laboratory projects develop knowledge and familiarity with machining centers and turning centers.",Machining and CNC Programming,INDUSTDY 3160,P: INDUSTDY 3460; C: INDUSTDY 3050,"Bus, Inds, Life Sci, Ag",3
"Current Topics in Engineering,In-depth study of a current topic of interest to the engineering profession. The topic to be covered will be identified in the course title.",Current Topics in Engineering,Lecture - Required,Main Campus,MECHENG 4980,1 - 3
"Construction Procedures,Planning and analysis of work methods, scheduling and its computer applications, control of crews, materials and equipment selection, CPM and PERT methods of scheduling, contract types, the project manual concept, and construction specification writing and interpretation.",Construction Procedures,INDUSTDY 3220,P:  INDUSTDY 2430 and MATH 1830 and COMPUTER 1830,"Bus, Inds, Life Sci, Ag",3
"Materials and Techniques of Building Construction,The basics of construction surveying, the properties and application of wood as a building construction material, an introduction to the use and application of the psychrometric chart, moisture control, the impact and prevention of mold, and analyses of building techniques.  Lab includes the performance of various analyses via 2D/3D CAD, spreadsheets and other analysis methods.",Materials and Techniques of Building Construction,INDUSTDY 2540,P: INDUSTDY 2430 and COMPUTER 1830 and Math placement level 30 or MATH 1530,"Bus, Inds, Life Sci, Ag",3
"3D Industrial Production Drafting,Expands 2D drafting concepts using AUTOCAD and provides integration of drafting and design procedures with 3-Dimensional software.  Students will explore introductory through intermediate techniques including part model creation, assembly model creation, part drawing documents, geometric dimensioning and tolerancing, and other modeling features related to 3D solid modeling.  Students will apply drafting and design principles to component parts toward various applications to meet industry standards.",3D Industrial Production Drafting,INDUSTDY 3460,P:  INDUSTDY 1030 and INDUSTDY 1230 and Math placement level 15 or MATH 15,"Bus, Inds, Life Sci, Ag",3
"Metalcasting Technology I,Technical study and laboratory investigation into processes used in the manufacture of non-ferrous metalcastings.  Special emphasis on the following  processes: green sand molding and testing, evaporative pattern casting, investment casting, chemically bonded sand, and shell sand.  Also, lecture and discussions on the following topics: gating practices, sand technology, coremaking, casting defects, pattern development, metallurgy of aluminum and light alloys, metallurgy of copper base alloys, and cast trends in the metalcasting industry.",Metalcasting Technology I,INDUSTDY 3480,P: INDUSTDY 1030 and INDUSTDY 3050,"Bus, Inds, Life Sci, Ag",3
"Fluid Power and Servo Systems,The study of fluid power theory and their applications to agricultural and industrial processes. The course includes the examination of fluids, pumps, compressors, conditioners, control devices, actuators, symbols, and circuitry. Other course areas include an introduction to electrical, electronics, and fluid servo systems.",Fluid Power and Servo Systems,INDUSTDY 3550,P:  INDUSTDY 1530 or AGET 1750,"Bus, Inds, Life Sci, Ag",3
"Metallurgy,An intermediate course studying the physical and mechanical properties of metals and their alloys, and the principles of heat treatment of ferrous and non-ferrous alloys.  Metallugical sample preparation, image analysis, spectrographic and combustion analysis of metals will be explored.",Metallurgy,INDUSTDY 3310,P: INDUSTDY 3050 and INDUSTDY 3150,"Bus, Inds, Life Sci, Ag",3
"Industrial Control Systems,The course includes the principles of measurement and control fundamentals including relay control systems, ladder logic, programmable controllers, industrial sensors, control software, and computer-controller systems.",Industrial Control Systems,INDUSTDY 3560,P:  INDUSTDY 1200 and INDUSTDY 1530,"Bus, Inds, Life Sci, Ag",3
"Semiconductors,Students study the theory and applications of diodes; BJT, FET, and MOSFET transistors; SCRs, Triacs, etc.  The lab focuses on rectifiers, filtering, voltage regulation, applications of transistor switching, and 8-bit microcontroller programming, I/O, and control.",Semiconductors,INDUSTDY 3260,P:  INDUSTDY 1200,"Bus, Inds, Life Sci, Ag",3
"Fleet Safety Management,This course is designed to introduce the students to the potential for loss in fleet operations. Topics discussed will include case studies of fleet related incidents as well as the loss prevention strategies utilized by industry. The student will be introduced to the components of a fleet safety program and be required to develop an actual fleet loss control plan.",Fleet Safety Management,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Teaching Technology Education,Teaching methodology, delivery styles, and curriculum development for technology education.  Unit planning, lesson planning, and aligning curriculum to standards are emphasized in an interactive teaching/learning environment.",Teaching Technology Education,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Industrial Hygiene and PPE,This course consists of two major topic areas: industrial hygiene and personal protective equipment. The first is concerned with the chemical and physical hazards that impair the health of workers while on the job. Emphasis in the course is in recognizing, evaluating, and controlling hazards. Students receive experience in monitoring exposure of workers to harmful hazards and harmful physical conditions.  The second topic area focuses on personal protective equipment (PPE) requirements and their use.",Industrial Hygiene and PPE,INDUSTDY 3590,P:  INDUSTDY 2710,"Bus, Inds, Life Sci, Ag",3
"Topics in Industrial Studies,The study of selected topics common to the industrially oriented disciplines. The topic to be covered will be identified in the course title.",Topics in Industrial Studies,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,1 - 3
"Special Issues in Industrial Studies,The study of selected topics common in the industrially oriented disciplines. The issues to be covered will be identified in the course title.",Special Issues in Industrial Studies,INDUSTDY 2040,None,"Bus, Inds, Life Sci, Ag",1 - 3
"Principles of Safety and Risk Management,A study of the principles of industrial safety and the associated management of the risk exposures. The course includes basic industrial safety concepts, analyzing safety and health issues at the workplace, accident causation, and prevention theories. Emphasis is placed on teaching them their role as a manager for safety in the work place.,
A review of applicable safety standards are also covered in the course.",Principles of Safety and Risk Management,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Metal Manufacturing Senior Design,Application of the principles of design, metal cutting theory, CNC programming, metalcasting, and other metals manufacturing methods.  In order to complete the semester project students will also apply production tooling methods, cost and time estimating, and quality measurement.  An in depth final report and presentation are required.",Metal Manufacturing Senior Design,INDUSTDY 4160,P:  INDUSTDY 3050 and INDUSTDY 3160 and INDUSTDY 3460,"Bus, Inds, Life Sci, Ag",3
"Electrical Power,A study of the methods and systems of AC and DC power generation, distribution, and motors.  Other course areas include motor controllers, mechanical switches, and other industrial control systems.",Electrical Power,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Specialized Drafting Practices,This course provides an integration of 3-D drafting practices as they are applied to technical drafting problems.  Conventional and computer aided drafting and design procedures will be applied to auxiliary and sectional views, geometric dimensioning and tolerancing, gears, cams, fixture layout, applied mechanics, and special fields of drafting to create assembly drawings for production.",Specialized Drafting Practices,INDUSTDY 4360,P:  INDUSTDY 1030 and INDUSTDY 1230 and INDUSTDY 3460,"Bus, Inds, Life Sci, Ag",3
"Manufacturing Materials,The course introduces students to current manufacturing materials (polymers, metals, ceramics, and composites) under the lens of Material Science concepts.  Focus is placed on the relation between material structure, properties, processing, and performance, with students exploring the fundamentals of atomic bonding, crystalline structures, phase diagrams, and kinetics in relation to material selection, design considerations, and applications of industrial materials.",Manufacturing Materials,INDUSTDY 3150,P: INDUSTDY 1830; C: INDUSTDY 3050,"Bus, Inds, Life Sci, Ag",3
"Metalcasting Technology II,In depth course in cast iron metallurgy and ferrous foundry practice.  A semester project is chosen and followed through to completion.  To complete the project many skills will be taught: melting practice and furnace operation, calculation of the risering and gating system, verification using computer modeling, patternmaking, molding, and pouring.  Metallurgical analysis of the project produced is also necessary and a final report and presentation will be made.",Metalcasting Technology II,INDUSTDY 4490,P:  INDUSTDY 1030 and INDUSTDY 3050 and INDUSTDY 3310 and INDUSTDY 3480,"Bus, Inds, Life Sci, Ag",3
"Construction Heavy Equipment Safety,The course is dedicated to the hazards associated with the heavy equipment that is used in the construction industry. This course is designed so the student will be able to recognize, evaluate and develop safety management techniques for the control of the hazards associated with the operation of the heavy equipment.",Construction Heavy Equipment Safety,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Construction Technical Certifications,The course is entirely dedicated to the enhancement of the Building Construction Safety Management student¿s portfolio. The course will include several nationally recognized professional development modules. They include but are not limited to the following: crane safety, excavation safety, aerial lift safety, forklift safety, fall protection safety, arc flash safety, confined space safety rigging, safety crane signaling. Note: This course may require extra time out side of the normal class room hours to complete.",Construction Technical Certifications,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Hot Metal Processing,This course will cover the hot processes of metals such as: forging, metal extrusion, welding, powder metallurgy, thermal spray, and advanced heat treatment.  Other topics will include emerging materials and refractory metals.  This course will also study in-depth, the metal production processes.",Hot Metal Processing,INDUSTDY 4450,P: INDUSTDY 3050 and INDUSTDY 3310,"Bus, Inds, Life Sci, Ag",3
"Digital Electronics,Students will study digital and linear integrated circuits utilized in control systems applications. Timer circuits, logic gates, and interfacing will be used in applications.  Field Programmable Gate Array and microcontroller programming and applications will be studied in class and implemented in labs.",Digital Electronics,INDUSTDY 3230,P:  INDUSTDY 1200,"Bus, Inds, Life Sci, Ag",3
"Industrial Robotics,Study and application of robotic systems to include: fundamentals, classification, integration in manufacturing systems, end-effectors, sensors, vision systems, auxiliary equipment and control systems, safety and cost justification.  Basics of robot programming is applied.",Industrial Robotics,INDUSTDY 4480,P: INDUSTDY 1530,"Bus, Inds, Life Sci, Ag",3
"Commercial Estimating,Principles, theories, and systems of commercial cost estimating and the use of computer estimating software.",Commercial Estimating,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Hazard Control Solutions,The course is entirely dedicated to identifying and developing control plans for the hazards associated with general industry. This course is designed so the student will be able to recognize, evaluate and develop safety management techniques for the control of hazards associated with the operations of a multitude of industrial/technical operations. This class is completely dedicated to current applications in the  industrial/manufacturing sectors of industry.",Hazard Control Solutions,INDUSTDY 4710,P: INDUSTDY 1010,"Bus, Inds, Life Sci, Ag",3
"Curriculum and Facility Planning,Curriculum development through design of a program of study.  Procedures for identifying and organizing content are examined.  Laboratory design and layout are correlated with curriculum through examination of building codes, safety requirements, and equipment specifications.",Curriculum and Facility Planning,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Construction Hazard Control Solutions,The course is entirely dedicated to identifying and developing control plans for the hazards associated with the entire construction industry. This course is designed so the student will be able to recognize, evaluate and develop safety management techniques for the control of the hazards associated with the operations of all areas of construction including but not limited to: residential, light commercial, heavy commercial, industrial, heavy industrial and the transportation industry. This class is completely dedicated to current applications in the construction industry.",Construction Hazard Control Solutions,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Disaster Preparedness,Principles of organization on the local, state, and national levels concerning natural and human disasters. A systematic and realistic approach to hazard analysis and mitigation. An opportunity is provided to participate in a class disaster preparedness project.",Disaster Preparedness,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Seminar in Safety,Programs in safety are explored with safety resource experts from industry, education, and government agencies invited as speakers.  Additional time is devoted to topics to prepare the safety student for the safety profession.  Included would be such topics on how to develop resumes, employment opportunities in the safety profession, and certification available in the safety profession.",Seminar in Safety,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Industrial Design for Production,Study of design principles, production methods, and simultaneous manufacturing techniques.  Emphasis is on understanding and application of the design process.  Laboratory activities focus on the design and production of a product.",Industrial Design for Production,INDUSTDY 3950,P: INDUSTDY 1010 and INDUSTDY 1030 and INDUSTDY 1230 and Math placement level 15 or MATH 15 and (ENGLISH 1130 or ENGLISH 1040) and ENGLISH 1230,"Bus, Inds, Life Sci, Ag",3
"Mold Design and Production,The course explores the facets of mold design, production, and evaluation.   Lectures offer discussion of proper design concepts such as gating, venting, and reinforcement placement, as well as the use of mold flow and heat transfer modeling software.  Various lab modules provide a hands-on exploration of lecture topics which allow students to complete a course project that guides them through the design, production, and testing of an injection molding, extrusion, or thermoforming mold of their creation.",Mold Design and Production,INDUSTDY 4800,P: INDUSTDY 1830 and INDUSTDY 3050 and INDUSTDY 3460 and (INDUSTDY 4850 or INDUSTDY 3480),"Bus, Inds, Life Sci, Ag",3
"Principles of Vocational-Technical Education,An examination of the historical roots of vocational-technical education.   Readings and research are conducted on the current trends and issues facing vocational-technical education in a high tech society.  Satisfies Vocational Certification.",Principles of Vocational-Technical Education,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,2
"Residential Planning and Design,Residential planning, design and construction; specific emphasis is placed on the presentation plans, home ownership, housing, design requirement, and special structural design considerations. Laboratory work consists of developing a complete set of working architectural plans and related specifications using conventional and CADD drafting practices.",Residential Planning and Design,INDUSTDY 4530,P:  INDUSTDY 2430,"Bus, Inds, Life Sci, Ag",3
"Materials Testing and Evaluation,A technical study and evaluation of industrial materials and processes using destructive and nondestructive evaluation methods.  The course is designed to increase breadth and depth of knowledge of differing material characteristics and properties.  Emphasis is given to understanding and application of processes used in material selection and testing methods.",Materials Testing and Evaluation,INDUSTDY 3940,P:  (PHYSICS 1050 or CHEMSTRY 1050) and (INDUSTDY 3050 or INDUSTDY 1830),"Bus, Inds, Life Sci, Ag",3
"Plastics Processing II,Serving as a continuation of Plastics Processing I, the course explores blow molding, transfer molding, thermoforming, and polymer matrix composite processing techniques.  The historical, present, and future industrial status of each process is discusses along with their place in industry.  Each process is demonstrated by videos, site tours, and hands-on lab activities using relevant equipment.",Plastics Processing II,INDUSTDY 4860,P: INDUSTDY 4850 and INDUSTDY 3460,"Bus, Inds, Life Sci, Ag",3
"Fire Protection and Environmental Safety,This course consists of two major topics of study:  (a) A study of the nature and theory of fire hazards; preplanning to prevent fires; the systems approach to fire protection services; the technology of fire control; and the application of theory and technology to solving fire problems; and (b) developing an understanding of the principles and concepts inherent to the environmental regulatory structure within the United States and the State of Wisconsin. Students will receive an overview of environmental regulations, terminology, and management practices",Fire Protection and Environmental Safety,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Plastics Senior Design,The capstone course provides students with an opportunity to apply the concepts learned and skills developed during the program through a materials research or product design project.  Students electing a materials research project will synthesize, process, and evaluate a material based on the conditions of their approved research plan.  Students electing a product design project will employ material selection and product design concepts, mold design and production concepts, and evaluate the resulting product in its performance in the intended application.  Options for collaborative projects with students from the Metals Processing Technology Minor may also be available.",Plastics Senior Design,INDUSTDY 4890,P: INDUSTDY 3460 and INDUSTDY 4860,"Bus, Inds, Life Sci, Ag",3
"Work Measurement and Human Factors,A study of methods to improve productivity, efficiency and effectiveness of work methods.  This course is intended to provide an understanding of the principles of motion economy and work measurement techniques using graphing and charting tools, process picture mapping, 5S value stream mapping, quantitative analysis methods, lean manufacturing and SixSigma concepts.  The course is designed for those responsible for supervising or conducting work measurement in industry, but is also valuable for any business or service organization.",Work Measurement and Human Factors,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Construction Safety Capstone,This course is designed to provide the senior level student the skill sets for the development of the management tools necessary to be successful in the construction safety management profession. The course will include the development and application of the GAP process. The components of a risk management improvement plan, safety manual, critical incident management process and an organizational performance system will be covered. The students will apply the concepts of the psychology of risk, as well as gaining the experience of communicated within an organization both in written and presentation formats. The student will receive actual tools to take with them to utilize in their new profession.",Construction Safety Capstone,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Quality Assurance,The study of techniques and procedures of assuring and maintaining the quality of industrial products and services.  Statistical process control methods such as variable and attribute control charts, acceptance sampling, process capability and reliability are examined.  The course also studies modern quality systems, Six Sigma, industrial experimentation and ISO standards.",Quality Assurance,INDUSTDY 4940,P:  INDUSTDY 1030 and MATH 1830,"Bus, Inds, Life Sci, Ag",3
"Production Planning and Control,An investigation and study of the integrated approach of effective management practices associated with production planning, scheduling, and control.  Operations strategy, quality of work life, global competition, lean manufacturing, forecasting methods, supply chain management practices, scheduling and plant  facilities layout are stressed.",Production Planning and Control,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Commercial Building Planning and Construction Techniques,Specific emphasis is placed on planning/materials/methods and construction practices associated with general building construction including people/buildings/cities, land planning, infrastructure, equipment/machines, codes, pre-engineered buildings, and innovative technologies.",Commercial Building Planning and Construction Techniques,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Additive Manufacturing and Specialized Processes,The course explores recent technological advancements in manufacturing techniques including laser cutting, electrical discharge machining, and water-jet cutting with an emphasis on additive manufacturing (AM) processes.  Students will learn the seven variations of AM and explore every aspect of the process, from general printer operation and use of slicing software to 3D model design, basic PLC logic and G-code programming for CNC, actuator control, and component assembly.",Additive Manufacturing and Specialized Processes,INDUSTDY 4740,P: INDUSTDY 1830 and INDUSTDY 3050 and INDUSTDY 3460,"Bus, Inds, Life Sci, Ag",3
"Construction Administration,Construction company organization; contract documents; legal, ethical, business, and management procedures; and principles of construction management.",Construction Administration,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Independent Study in the Department of Industrial Studies,Independent study is a contractual learning experience resulting in a technical report, research paper, project, or a combination of these. Selection of the area of study is done by the student in consultation with the instructor.",Independent Study in the Department of Industrial Studies,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,1 - 3
"Building Systems Analysis,The major building systems which include electrical systems, climate controlling systems, lighting systems, and water supply and drainage systems are studied.",Building Systems Analysis,INDUSTDY 4630,P: INDUSTDY 2430 and INDUSTDY 2540 and COMPUTER 1830 or CIVILENG 2120,"Bus, Inds, Life Sci, Ag",3
"Industrial Engineering Computer Applications,Spreadsheets, databases, Statistical Analysis Software, and computer programming.  Emphasis on using the computer and computer software as a tool to solve Industrial Engineering problems and to facilitate Industrial Engineering activities.",Industrial Engineering Computer Applications,INDSTENG 3130,P: INDSTENG 2130 and MATH 2640,"Engineering, Math and Science",3
"Human Factors Engineering,Application of human factors (ergonomics) principles to the design of industrial and office systems.  Consideration of human capabilities and limitations, effects of the work environment, and design for the handicapped.  Application of bio-mechanical and energy consumption models, the human factors design guide, and MQPro software for virtual ergonomics analyses and evaluations.  Current standards and OSHA guidelines.  At least 8 laboratory projects will enhance the application of human factors principles to real world problems.  Safety aspects of human factors engineering will be discussed.",Human Factors Engineering,INDSTENG 3430,P:  MATH 2740 and BIOLOGY 2340,"Engineering, Math and Science",3
"Fundamentals of Industrial and Systems Engineering,Introduction to industrial and systems engineering and associated specialties.  Basic principles including techniques in work measurement, facility design, management, and quality.  Professional ethics. Techniques are demonstrated through the use of general applications packages.",Fundamentals of Industrial and Systems Engineering,INDSTENG 2130,P:  Sophomore Standing and MATH 2450 or MATH 2530 or GENENG 1500 or mathematics proficiency level of 40,"Engineering, Math and Science",3
"Industrial Studies Internship,An on-the-job assignment commensurate with the instruction program and approved by the industrial internship coordinator. May be repeated for up to 8 credits, but must be progressively more advanced.",Industrial Studies Internship,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,1 - 8
"System Safety Engineering,Principles of safety and safety management with an emphasis on OSHA standards.  Common hazard situations are presented for anticipation, identification, and evaluation.  Ethical and legal responsibilities of engineers are explored.  Safety management, plans, and programs are discussed with an emphasis on development and implementation.  Risk assessment concepts are introduced.  Emphasis on communication between the engineer and personnel at all levels with an organization.",System Safety Engineering,"Engineering, Math and Science",None,Industrial Engineering,3
"Plastics Processing I,The course offers an in-depth exploration of extrusion, compression molding, injection molding, and reaction injection molding.  Students will learn the history, current status, and projected future of each process in industry, as well as their roles and limitations.  Lectures and discussions are supplemented with hands-on lab activities and operation of processing equipment.",Plastics Processing I,INDUSTDY 4850,P:  INDUSTDY 1830,"Bus, Inds, Life Sci, Ag",3
"Technical Certifications,The course is entirely dedicated to the enhancement of the ITM/Occupational Safety Management student¿s portfolio. The course will include several nationally recognized professional development-type modules. They may include, but are not limited to the following; overhead crane safety, excavation safety, aerial lift safety, forklift safety, fall protection safety, arc flash safety, confined space safety, rigging safety, crane signaling, process safety management, and robotics safety. Note: This course may require extra time outside of the normal class room hours to complete all certifications.",Technical Certifications,Lecture - Required,Main Campus,INDUSTDY 4760,3
"Operations Research I,Basic methodology and techniques of operations research.  Emphasis on application and problem solving models; linear programming, sensitivity analysis, nonlinear/classical optimization, queuing theory; Markov processes; dynamic programming.",Operations Research I,"Engineering, Math and Science",None,Industrial Engineering,3
"Training and Supervision,An investigation of the duties and responsibilities of first-line supervisors. Emphasis is given to worker motivation, effective communication with employees, recruiting and selecting employees, supervisory leadership, employee evaluation and discipline, special interests in the workplace, employee training needs, and industrial training programs.",Training and Supervision,"Bus, Inds, Life Sci, Ag",None,Industrial Studies,3
"Facilities Design,Design principles and analytical procedures for facility location, development of an overall functional relationship plan, materials receipt accounting, processing and storage areas.  Discussion of manufacturing and service-oriented facilities.  Application of IE principles to optimization of site selection and facility design.  Facilities covered include automated manufacturing systems, flexible manufacturing systems, modular design and office space design.  Application of computerized layout techniques is emphasized.  Weekly lab/project sessions allow application exercises to enhance theory.",Facilities Design,INDSTENG 4230,"P: Must be in a degree granting program, C:  INDSTENG 3630","Engineering, Math and Science",3
"System Simulation and Analysis,Applications of computer simulation of discrete systems with emphasis on model formulation; instruction in at least one simulation language. Emphasis on input data analysis, model development, model validation, statistical analysis of output, and experimental design.",System Simulation and Analysis,INDSTENG 4130,P:  INDSTENG 2130 and INDSTENG 3530,"Engineering, Math and Science",3
"Material Handling and Warehousing,Procedures and techniques for analysis of material handling and warehousing problems.  Principles of materials handling; systematic handling analysis; productivity analysis; unit load design; automatic identification techniques; selection/use of common and state-of-the-art equipment and techniques; design of materials handling systems; safety procedures in materials handling.  Weekly lab/project sessions allow application exercises to enhance theory.",Material Handling and Warehousing,INDSTENG 4330,P:  INDSTENG 3530 and GENENG 2820,"Engineering, Math and Science",3
"Industrial Engineering Cooperative Education,Work experience in industry under the direction of the College of Engineering, Mathematics and Science Cooperative Education and Internship Program.  During co-op the student is expected to be away from his/her studies at UW-Platteville and work for an industry for a semester and summer.  Credits do not fulfill graduation requirements.",Industrial Engineering Cooperative Education,"Engineering, Math and Science",None,Industrial Engineering,2
