prerequisites,course,description,unit,title
None,LITTRANS/​FOLKLORE/​MEDIEVAL  345,"
Introduction to the Renaissance concepts of the individual and individualism through major literary texts, including Boccaccio's Decameron, Machiavelli's Prince, and Cellini's Autobiography. Enroll Info: So st",3-4 ,IN TRANSLATION: THE DRAMA OF AUGUST STRINDBERG
None,LITTRANS/​FOLKLORE/​MEDIEVAL  346,"
",3-4 ,IN TRANSLATION: 19TH CENTURY SCANDINAVIAN FICTION
None,LITTRANS/​FOLKLORE  347,"
Enroll Info: Open to Fr. LCA majors and all Grads register for LCA 357",3-4 ,IN TRANSLATION: KNUT HAMSUN AND THE 20TH CENTURY NORWEGIAN NOVEL
None,LITTRANS 350,"
",3-4 ,IN TRANSLATION: KIERKEGAARD AND SCANDINAVIAN LITERATURE
None,L IS 826,"
",3 ,LIBRARY SERVICES TO CHILDREN AND YOUNG ADULTS
None,L IS 839,"
Overview of information and communications technologies, digital media, and standards in relationship to information agencies, within the context of current societal controversies. Promotes technical knowledge of ICT and critical analysis of controversies surrounding ICT development, use and modification. Enroll Info: None",1-3 ,COMPUTATIONAL RESEARCH METHODS
None,L IS 847,"
",1-3 ,TOPICS IN RESEARCH METHODS FOR LIBRARY AND INFORMATION STUDIES
None,L IS 848,"
An examination of intellectual freedom in the United States including censorship, minors' rights, the Internet, privacy, and copyright with focus on theoretical questions related to the First Amendment to the U.S. Constitution, and historical developments. Enroll Info: None",1-3 ,ARCHIVES ACCESSIONING AND APPRAISAL
None,L IS 855,"
",1-3 ,TOPICS IN COMMUNITY ENGAGEMENT
None,L IS 875,"
Introduces students to basic concepts in information architecture, digital interaction design, usability testing, navigation, evaluation, and accessibility through planning, design and development of a web based information product or service. Students will also learn introductory web development technologies. Enroll Info: None",1-3 ,INFORMATION USE AND USERS
None,L IS 879,"
",3 ,FIELD PROJECT IN LIBRARY AND INFORMATION LITERACY INSTRUCTION
None,L IS 910,"
History of books and print culture in the West from ancient times to the present. Focus on the influence of reading and writing on social, cultural, and intellectual life. Methodologies, theories, and sources for study  of book and print culture history. Enroll Info: None",3 ,SPECIAL COLLECTIONS
None,L IS 931,"
",3 ,TOPICS IN USER SERVICES
None,L IS 940,"
Basic cataloging and classification principles and suitable techniques. Includes descriptive cataloging, selected entry headings, Sears subject headings, Dewey Decimal Classification, book numbers, and cataloging with supplied copy including OCLC editing. Enroll Info: None",3 ,TOPICS IN LITERATURE FOR CHILDREN AND YOUNG ADULTS
None,L IS 950,"
",3 ,TOPICS IN INFORMATION AGENCY MANAGEMENT
None,L IS 975,"
Introduces the technical underpinnings of XML and linked data (RDF) as used in information agencies, sufficient for students to learn, use, and leverage newly-encountered markup and metadata languages. Enroll Info: None",3 ,TOPICS IN INFORMATION PROCESSING AND RETRIEVAL
None,L IS/​HISTORY  976,"
",3 ,DIGITAL LIBRARIES
None,L IS/​HISTORY  977,"
Issues of United States government information policy. Structure, policies, and procedures of the Depository Library System. Selection, acquisition, and problems of access to government information sources, including electronic formats. Enroll Info: None",3 ,SMR-RESEARCH DESIGN & METHODOLOGY FOR LIBRARY & INFORMATION STUDIES
None,L IS 990,"
",1-9 ,"SEMINAR IN INFORMATION POLICY, MANAGEMENT AND INSTITUTIONS"
None,L IS 999,"
Survey of concepts and skills necessary to perform in an information services organization. Service needs assessment, goal and objective setting, staffing, budgeting and evaluation. Enroll Info: None",1-4 ,SEMINAR IN INFORMATION USE AND USERS IN CONTEXT
None,LITTRANS 360,"
Focuses on the central role played by Italy in the European vision of America between Columbus's voyages and the Second World War. Enroll Info: None",3-4 ,CONTEMPORARY SCANDINAVIAN LITERATURE IN TRANSLATION
None,LITTRANS/​ILS/​ITALIAN/​POLISCI  365,"
",3 ,IN TRANSLATION: MYTHOLOGY OF SCANDINAVIA
None,LITTRANS/​JEWISH  367,"
A critical introduction to the literature of China throughout the ages. Most representative traditional and modern works of Chinese poetry, fiction and drama. Two semesters may be taken independently. Enroll Info: None",3-4 ,IN TRANSLATION: THE WOMAN IN SCANDINAVIAN LITERATURE
None,LITTRANS 368,"
",3 ,IN TRANSLATION: THE SCANDINAVIAN TALE AND BALLAD
None,LITTRANS 372,"
Continuation of 261. Enroll Info: None",3 ,IN TRANSLATION: THE ICELANDIC SAGAS
None,LITTRANS 373,"
",3 ,IN TRANSLATION: KALEVALA AND FINNISH FOLK-LORE
None,LITTRANS 374,"
A historical introduction to the important literary works of Japan. The first semester: the literary tradition before the restoration of 1868; the second semester: the literature of Japan during the last century. These two semesters may be taken independently. Enroll Info: None",3 ,SCANDINAVIAN DECADENCE IN ITS EUROPEAN CONTEXT
None,LITTRANS 410,"
",3 ,FRENCH AND ITALIAN RENAISSANCE LITERATURE ONLINE
None,LITTRANS/​THEATRE  423,"
Continuation of 263. Enroll Info: None",3 ,MACHIAVELLI AND HIS WORLD
None,LITTRANS/​SCAND ST  428,"
",3 ,ISRAELI FICTION IN TRANSLATION
None,LITTRANS 454,"
Representative texts of French women writers from Marie de France, the women troubadours, and Christine de Pizan to Madame de Stael and George Sand, in historical, social, and cultural context. Enroll Info: None",3 ,MODERN JAPANESE FICTION
None,LITTRANS 455,"
",3 ,CLASSICAL JAPANESE PROSE IN TRANSLATION
None,LITTRANS 471,"
Exploration of European Yiddish fiction, poetry, folklore, and cinema, with a focus on works of the 19th and 20th centuries. Enroll Info: None",3 ,TOPICS IN JAPANESE LITERATURE
None,LITTRANS 473,"
",3 ,TOPICS IN KOREAN LITERATURE
MATH 113,M S & E 1,"
Work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Enroll Info: So st",1 credit.,COOPERATIVE EDUCATION PROGRAM
114,M S & E 250,"
",1 credit.,INTRODUCTION TO MODERN MATERIALS
171,M S & E 260,"
This course is designed to provide incoming students with an overview of the structure of materials and the relation to properties. Special emphasis is placed on modern materials and recent advancements in their application. Enroll Info: Open to Fr or stdts who have not declared a major",2 ,MATERIALS EXPERIENCE
CHEM 103,M S & E 299,"
",1-3 ,INDEPENDENT STUDY
109,M S & E 330,"
Provides overview of the field of Materials Science and Engineering, with significant design and hands-on components. Highlights different types of materials, with a focus on describing the extensive impact that Materials Science and Engineering has had on society. Small teams provide hands-on experience in materials design, synthesis, and processing and the fabrication of materials with desired properties and function. Enroll Info: None",4 ,THERMODYNAMICS OF MATERIALS
115,M S & E 331,"
",3 ,TRANSPORT PHENOMENA IN MATERIALS
PHYSICS 202,M S & E 332,"
Enroll Info: None",3 ,MACROPROCESSING OF MATERIALS
208,M S & E 333,"
",3 ,MICROPROCESSING OF MATERIALS
248,M S & E 350,"
Introduction to thermodynamics of materials, equilibrium constants, solutions, heterogeneous equilibria and electrochemistry. Enroll Info: ",3 ,INTRODUCTION TO MATERIALS SCIENCE
CHEM/​M S & E  421,M S & E 351,  ,3 ,MATERIALS SCIENCE-STRUCTURE AND PROPERTY RELATIONS IN SOLIDS
None,M S & E 352,"
",3 ,MATERIALS SCIENCE-TRANSFORMATION OF SOLIDS
None,M S & E 360,"
Basic principles of fluid flow, heat transfer and diffusion are introduced. Examples relevant to design and processing of materials including metals, semiconductors, glasses, polymers, and ceramics are given. Enroll Info: MSE 330",1 credit.,MATERIALS LABORATORY I
None,M S & E 361,"
",2 ,MATERIALS LABORATORY II
None,M S & E 362,"
Topics include: ironmaking and steelmaking; production of Cu, Zn, Al and Mg by electrolysis; solidification processing of alloys by ingot casting, continuous casting and directional solidification; growth of bulk single crystals of semiconductors and ceramics from melts. Enroll Info: MSE 330",2 ,MATERIALS LABORATORY III
None,M S & E 363,"
",2 ,BASIC MATERIALS CHARACTERIZATION TECHNIQUES
None,M S & E 401,"
Integration of materials science theory and materials engineering practice as applied to the processing of materials at the microscopic level. Enroll Info: MSE 332 or cons inst",1-3 ,SPECIAL TOPICS IN MATERIALS SCIENCE AND ENGINEERING
None,M S & E/​CHEM  421,"
",3 ,POLYMERIC MATERIALS
None,M S & E/​N E  423,"
Basic structure and resulting properties, phase equilibria, metastability, rate and growth processes in solids. Enroll Info: ",3 ,NUCLEAR ENGINEERING MATERIALS
None,M S & E/​N E  433, or equivalent or consent of instructor,3 ,PRINCIPLES OF CORROSION
None,M S & E 434,"
",3 ,INTRODUCTION TO THIN-FILM DEPOSITION PROCESSES
None,M S & E/​M E  435,"
Introduction to: atomic, electronic, and defect structures in materials; diffusional, mechanical and electrical properties of materials; and the role of structure and defects in diffusional, mechanical, and electrical properties. Enroll Info: ",3 ,"JOINING OF MATERIALS: STRUCTURAL, ELECTRONIC, BIO AND NANO MATERIALS"
GENETICS 466,MD GENET/​GENETICS/​ZOOLOGY  562,"
Fundamental principles of cytogenetics and special problems of human cytogenetics for biology and medical students. Enroll Info: None",2 ,HUMAN CYTOGENETICS
468,MD GENET/​GENETICS  565,"
",3 ,HUMAN GENETICS
BIOCORE 587,MD GENET/​BIOCHEM/​GENETICS  620,"
Principles, problems, and methods of human genetics. Surveys aspects of medical genetics, biochemical genetics, molecular genetics, cytogenetics, quantitative genetics, and variation as applied to humans. Enroll Info: None",3 ,EUKARYOTIC MOLECULAR BIOLOGY
GENETICS 466,MD GENET/​GENETICS  677,"
",1-3 ,ADVANCED TOPICS IN GENETICS
468,MD GENET 699,"
This course focuses on the basic molecular mechanisms that regulate DNA, RNA, and protein metabolism in eukaryotic organisms. This course is intended for advanced undergraduates and first year graduate students with a firm knowledge of basic biochemistry. Enroll Info: None",1-3 ,INDEPENDENT READING
BIOCORE 587,MD GENET/​GENETICS  707,"
",3 ,GENETICS OF DEVELOPMENT
BIOCHEM 501,MD GENET/​GENETICS  708,"
Contents vary; consideration of subjects not included in the curriculum. Enroll Info: None",3 ,METHODS AND LOGIC IN GENETIC ANALYSIS
508,MD GENET/​GENETICS/​POP HLTH  888,"
",1 credit.,PUBLIC HEALTH GENOMICS
GENETICS 466,MD GENET 911,"
Enroll Info: Cons inst  Sr st",2 ,MODERN CLINICAL GENETICS: HOW TO APPROACH A RAPIDLY CHANGING FIELD
GENETICS 468,MD GENET 990,"
",1-12 ,RESEARCH
BIOCORE 383,MD GENET 993,"
A research-level analysis of the current status of the investigation of processes controlling differential gene activity and cellular behavior. The major emphasis is genetic. In successive years, the focus moves from the gene to the cell to the organism. Enroll Info: None",0-1 ,SEMINAR IN GENETICS
MED SC-M 810,MD GENET 999,"
",1-3 ,INDEPENDENT WORK
None,M S & E 441, or equivalent,3 ,DEFORMATION OF SOLIDS
None,M S & E 448,"
",3 ,CRYSTALLOGRAPHY AND X-RAY DIFFRACTION
None,M S & E 451,"
The basic factors that determine phase equilibria, structural and transformation characteristics of solids. Principles governing the thermodynamics and kinetics of phase transformations and microstructure evolution. Nucleation and growth processes in precipitation, recrystallization, solidification, oxidation, martensitic, ordering and spinodal reactions. Transformation behavior in polymers, biomaterials and nanomaterials. Enroll Info: MSE 350, or 351 or consent of instructor",3 ,INTRODUCTION TO CERAMIC MATERIALS
None,M S & E 456,"
",3 ,"ELECTRONIC, OPTICAL, AND MAGNETIC PROPERTIES OF MATERIALS"
None,M S & E 461,"
Laboratory instruction in sample preparation for and applications of quantitative microscopy, x-ray diffraction, and properties measurement in the context of structure-property relationships in materials. Enroll Info: MSE 350, 351, or ",3 ,ADVANCED METAL CASTING
None,M S & E/​M E  462, or concurrent registration,3 ,WELDING METALLURGY
None,M S & E 463,"
",3 ,MATERIALS FOR ELEVATED TEMPERATURE SERVICE
None,M S & E 465,"
Experimental principles of materials science. Thermal, kinetic, structural, and materials synthesis experiments and associated concepts, data analysis, and presentation. Enroll Info: MSE 351 or concurrent registration  MSE 360 or equivalent",3 ,FUNDAMENTALS OF HEAT TREATMENT
None,M S & E 470,"
",1 credit.,CAPSTONE PROJECT I
None,M S & E 471,"
Experiments in the mechanical and electronic properties of matter in bulk and thin films; computer instrument control; and data analysis. Enroll Info: MSE 352 or concurrent registration  MSE 361",3 ,CAPSTONE PROJECT II
None,M S & E/​G L E/​GEOSCI  474,"
",3 ,ROCK MECHANICS
None,M S & E 521,"
The purpose of this course is to familiarize students with a variety of modern characterization techniques. Three general subject areas are covered: Physical Properties: Thermogravic analysis (TGA); differential scanning calorimetry (DSC); dynamic mechanical analysis (DMA); gel permeation chromatography (GPC). Spectroscopy, optical and x-ray: Ultraviolet/visible (VIS), molecular-infrared/Raman, Rheology; x-ray crystal and powder diffraction. Microscopy: scanning electron microscopy (SEM); SEM and energy dispersive analysis (EDS). Enroll Info: None",3 ,ADVANCED POLYMERIC MATERIALS
None,M S & E 530,"
",3 ,THERMODYNAMICS OF SOLIDS
None,M S & E/​E M A  541,"
Special topics of interest to students in materials science and engineering. Enroll Info: So st",3 ,HETEROGENEOUS AND MULTIPHASE MATERIALS
None,M S & E/​CBE/​E C E  544,"
",3 ,PROCESSING OF ELECTRONIC MATERIALS
None,M S & E 551,"
Polymer chemistry and physics terminologies, structure-property relationship, polymer characterization, polymer synthesis, material requirements for optoelectronics including conjugated polymers, thin film transistors, light emitting diodes, non-linear optical materials, holographic data storage and liquid crystal polymers. Enroll Info: ",3 ,STRUCTURE OF MATERIALS
None,M S & E 553, or equiv,3 ,NANOMATERIALS & NANOTECHNOLOGY
None,M S & E 560,"
",3 ,FUNDAMENTALS OF ATOMISTIC MODELING
None,M S & E 570,"
Fundamentals of fuel and cladding behavior in terms of thermal properties, chemical behavior and radiation damage. Enroll Info: MSE 350 or 351",3 ,PROPERTIES OF SOLID SURFACES
None,M S & E 699,"
",1-4 ,INDEPENDENT STUDY
None,M S & E 702,"
Thermodynamics and kinetics of metallic corrosion. The common forms of corrosion and corrosion susceptibility tests. Electrochemical measurement of corrosion rates. Corrosion prevention, economic considerations. High temperature oxidation and sulphidation. Corrosion case histories. Enroll Info: MSE 330 or equiv",1-2 ,GRADUATE COOPERATIVE EDUCATION PROGRAM
None,M S & E 748,"
",3 ,STRUCTURAL ANALYSIS OF MATERIALS
None,M S & E 750,"
Introduction to major thin-film deposition techniques and properties of thin films. Evaporation, plasma assisted processes with emphasis on sputter deposition, chemical vapor deposition ion beams. Film properties and characterization methods, applications. Enroll Info: MSE 330 and 351, or equiv",3 ,IMPERFECTIONS AND MECHANICAL PROPERTIES
None,M S & E 752,"
",3 ,ADVANCED MATERIALS SCIENCE: PHASE TRANSFORMATIONS
None,M S & E 756,"
Structural (metallic, ceramic, plastic, composite): welding, soldering, brazing, diffusion bonding, adhesive bonding. Electronic: wave and reflow soldering; wire, flip-chip and wafer bonding. Bio: hip and knee implants; dental restorations and implants; medical devices. Nano: nano tubes, wires, fibers and composites. Enroll Info: MSE 350 or 351 or cons inst",3 ,STRUCTURE AND PROPERTIES OF ADVANCED ELECTRONIC MATERIALS
None,M S & E 758,"
",1 credit.,TRANSMISSION ELECTRON MICROSCOPY LABORATORY
None,M S & E 760,"
Elastic and plastic deformation of real solids. Dislocation theory with applications to metals and alloys. Fracture, fatigue, brittle failure and methods for measuring the mechanical properties of materials. Enroll Info: EMA 214 or concurrent registration or consent of instructor,  MSE 352 or concurrent registration",3 ,MOLECULAR DYNAMICS AND MONTE CARLO SIMULATIONS IN MATERIALS SCIENCE
None,M S & E 790,"
",1-9 ,MASTER'S RESEARCH OR THESIS
None,M S & E 803,"
Crystal symmetry, projection methods, X-ray studies of structural problems in the solid state. Enroll Info: None",1-3 ,SPECIAL TOPICS IN MATERIALS SCIENCE
None,M S & E 890,"
",1-9 ,PRE-DISSERTATOR'S RESEARCH
None,M S & E 900,"
Primary objectives are to: 1) analyze how atoms and ions combine to form 3D crystals and glasses; 2) examine phase equilibria to understand the driving forces for the formation of particular ceramic phases; 3) introduce and discuss the nature of defects in ceramics; 4) discuss the migration of matter and of charge in ceramics; and 5) discuss properties and processing technologies of ceramics. Enroll Info: MSE 330  352",1 credit.,MATERIALS RESEARCH SEMINAR
None,M S & E 990,"
",1-9 ,RESEARCH AND THESIS
None,M S & E 999,"
Quantitative description of electronic, optical, and magnetic structure-property relationships of materials. Strategies for the development of new materials and introduction to applications of these materials. Enroll Info: None",1-3 ,INDEPENDENT WORK
MED SC-M 810,MED HIST/​HIST SCI/​HISTORY  132,"
How did today's biology emerge out of the diverse traditions of agriculture and natural history (bees and trees), biomedicine and molecular biology (germs and genes), which stretch back into the eighteenth century? In this course, we examine classic texts and ""game-changers"" in the history of biology, putting them into broader scientific and social contexts to see how these different ways of knowing intertwined, competed, and yielded novel approaches to the study of life that still shape today's life sciences. Enroll Info: None",3 ,"BEES, TREES, GERMS, AND GENES: A HISTORY OF BIOLOGY"
811,MED HIST/​HIST SCI  133,"
",3 ,"BIOLOGY AND SOCIETY, 1950 - TODAY"
812,MED HIST/​HIST SCI  212,"
From medical advancements to environmental crises and global food shortages, the life sciences are implicated in some of the most pressing social issues of our time. This course explores events in the history of biology from the mid-twentieth century to today, and examines how developments in this science have shaped and are shaped by society. In the first unit, we investigate the origins of the institutions, technologies, and styles of practice that characterize contemporary biology, such as the use of mice as ""model organisms"" for understanding human diseases. The second unit examines biological controversies such as the introduction of genetically modified plants into the food supply. The final unit asks how biological facts and theories have been and continue to be used as a source for understanding ourselves. Enroll Info: None",3 ,"BODIES, DISEASES, AND HEALERS: AN INTRODUCTION TO THE HISTORY OF MEDICINE"
813,MED HIST/​ENVIR ST  213,"
",3 ,GLOBAL ENVIRONMENTAL HEALTH: AN INTERDISCIPLINARY INTRODUCTION
None,MED HIST/​HIST SCI  218,"
A survey of different conceptions of how the body as a site of sickness has been understood from Antiquity to contemporary medicine. Includes consideration of the origins and evolution of public health, the changing social role of healers, and the emergence of the modern ""standardized"" body in health and illness.. Enroll Info: Open to Freshmen. For honors credit consent required in Hist Med 284 or consent of instructor",3 ,HISTORY OF TWENTIETH CENTURY AMERICAN MEDICINE
None,MED HIST/​ANTHRO  231,"
",3 ,INTRODUCTION TO SOCIAL MEDICINE
None,MED HIST/​AFROAMER/​HIST SCI  275,"
The course provides an introduction to the intersections of health and environment on a global scale.  Exposes students to a range of problems in global environmental health, including climate change, disease ecology, and the globalization of disease. Enroll Info: None",3 , 
None,MED HIST/​HIST SCI  284,"
",1 credit.,"SCIENCE, MEDICINE, AND RACE: A HISTORY"
None,MED HIST 286,"
This undergraduate lecture course introduces students to the development of the modern American medical care system. Enroll Info: None",3 ,PHYSICIAN IN HISTORY (HONORS)
None,MED HIST/​HIST SCI/​RELIG ST  331,"
",3-4 ,HONORS SEMINAR: STUDIES IN MEDICAL HISTORY
None,MED HIST/​HIST SCI  333,"
This interdisciplinary course will provide students with analytical tools for the critical examination of the social, cultural, political and economic determinants of health conditions and medical practice. We will pay special attention to how these factors determine how patients and providers experience and ideate disease and treatment, and how they respond to specific health care policies. The course will make emphasis on the important role that conditions of structural violence and inequality play as determinants of health conditions in a globalized world. Enroll Info: None",3 ,"SCIENCE, MEDICINE AND RELIGION"
None,MED HIST/​HIST SCI/​HISTORY  394,"
",3 ,HISTORY OF MODERN BIOLOGY
None,MED HIST/​HIST SCI/​HISTORY  504,"
Surveys the medical and scientific constructions of categories of race, placing the development of racial theories in a broad social and political context. The course will pay particular attention to the importance of racial science in slavery and colonialism. Enroll Info: None",3 ,SCIENCE IN AMERICA
None,MED HIST/​PHILOS  505,"
",3 ,SOCIETY AND HEALTH CARE IN AMERICAN HISTORY
None,MED HIST/​HIST SCI/​HISTORY  507,"
Honors course for students enrolled concurrently for honors in History of Science 212. Open to non-honors students with consent of instructor. Enroll Info: Con reg for honors in  Hist Med 212 or cons inst. Open to Fr",3-4 ,JUSTICE AND HEALTH CARE
None,MED HIST/​HIST SCI/​HISTORY  508,"
",3-4 ,"HEALTH, DISEASE AND HEALING I"
None,MED HIST/​HIST SCI  509,"
Intensive exploration of issues in medical history. Emphasis on developing critical thinking about medical history through discussion of readings, written exercises, and research projects. Enroll Info: None",3 ,"HEALTH, DISEASE AND HEALING II"
None,MED HIST/​ENVIR ST/​HIST SCI  513,"
",3 ,THE DEVELOPMENT OF PUBLIC HEALTH IN AMERICA
None,MED HIST/​PHILOS  515,"
Science, medicine and religion from antiquity to the present, with emphasis on Western civilization. Enroll Info: None",3 ,ENVIRONMENT AND HEALTH IN GLOBAL PERSPECTIVE
None,MED HIST/​AFROAMER/​HIST SCI  523,"
",3 ,PUBLIC HEALTH ETHICS
None,MED HIST/​GEN&WS/​HIST SCI  524,"
Survey of major developments in biology and related sciences ca. 1700-1950. Topics include morphology and embryology; evolutionary theory, ecology, and genetics; physiology and recent experimental biology. Enroll Info: Jr st or cons inst",3 , 
None,MED HIST/​ENGL/​HIST SCI  525,"
",3 ,"RACE, AMERICAN MEDICINE AND PUBLIC HEALTH"
None,MED HIST 526,"
From the colonial period to the present; emphasis on the development of scientific institutions and the influence of science on American life. Enroll Info: Jr st or cons inst",3 ,THE MEDICAL HISTORY OF SEX AND SEXUALITY
None,MED HIST/​GEN&WS/​HIST SCI  531,"
",3 ,HEALTH AND THE HUMANITIES
None,MED HIST/​GEN&WS/​HIST SCI  532,"
Lecture-seminar. Health care in America since the colonial period; emphasis on social developments. Enroll Info: None",3 ,MEDICAL TECHNOLOGY AND THE BODY
PHYSICS 104,MED PHYS/​PHYSICS  265,"
Primarily for premeds and other students in the medical and biological sciences. Applications of physics to medicine and medical instrumentation. Topics: biomechanics, sound and hearing, pressure and motion of fluids, heat and temperature, electricity and magnetism in the body, optics and the eye, biological effects of light, use of ionizing radiation in diagnosis and therapy, radiation safety, medical instrumentation. Two lectures with demonstrations per week. Enroll Info: None",2 ,INTRODUCTION TO MEDICAL PHYSICS
202,MED PHYS/​H ONCOL  410,"
",2-3 ,RADIOBIOLOGY
208,MED PHYS/​B M E/​H ONCOL/​PHYSICS  501,"
Effects of ionizing radiations of living cells and organisms, including physical, chemical, and physiological bases of radiation cytotoxicity, mutagenicity, and carcinogenesis; lecture and lab. Enroll Info: None",3 ,RADIOLOGICAL PHYSICS AND DOSIMETRY
PHYSICS 202,MED PHYS/​N E  506,"
",3 ,MONTE CARLO RADIATION TRANSPORT
208,MED PHYS/​B M E  530,"
Interactions and energy deposition by ionizing radiation in matter; concepts, quantities and units in radiological physics; principles and methods of radiation dosimetry. Enroll Info: None",3 ,MEDICAL IMAGING SYSTEMS
ZOOLOGY/​BIOLOGY/​BOTANY  152,MED PHYS/​B M E  535,"
",3 ,INTRODUCTION TO ENERGY-TISSUE INTERACTIONS
153,MED PHYS/​ISY E  559,"
Use of Monte Carlo technique for applications in nuclear engineering and medical physics. Major theory of Monte Carlo neutral particle transport is discussed. Standard Monte Carlo transport software is used for exercises and projects. Major emphasis is on analysis of real-world problems. Enroll Info: None",2 ,PATIENT SAFETY AND ERROR REDUCTION IN HEALTHCARE
MATH 234,MED PHYS/​PHYSICS  563,"
",2-3 ,RADIONUCLIDES IN MEDICINE AND BIOLOGY
PHYSICS 241,MED PHYS/​B M E  566,"
2D Fourier image representation, sampling, and image filtering with applications in medical imaging. Principles of operation, impulse responses, signal-to-noise, resolution and design tradeoffs in projection radiography, tomography, nuclear medicine, ultrasound, and magnetic resonance imaging. Enroll Info: None",4 ,PHYSICS OF RADIOTHERAPY
249,MED PHYS/​B M E  567,"
",4 ,THE PHYSICS OF DIAGNOSTIC RADIOLOGY
N E 305,MED PHYS/​B M E  568,"
Explore physical interactions between thermal, electromagnetic and acoustic energies and biological tissues with emphasis on therapeutic medical applications. Enroll Info: None",2 ,MAGNETIC RESONANCE IMAGING (MRI)
N E 405,MED PHYS/​N E  569,"
",3-4 ,HEALTH PHYSICS AND BIOLOGICAL EFFECTS
N E 408,MED PHYS 570,"
Techniques for evaluating and reducing risks in medical procedures, including probabilistic risk assessment methods, failure mode and effects analysis, human factors analysis, and quality management. Discussions of patient safety standards, recommendations from agencies, and continual quality improvement. Enroll Info: None",3 ,ADVANCED BRACHYTHERAPY PHYSICS
PHYSICS/​B M E/​H ONCOL/​MED PHYS  501,MED PHYS 571,"
",3 ,ADVANCED EXTERNAL RADIATION ONCOLOGY PHYSICS
N E/​MED PHYS  569,MED PHYS 572,"
Physical principles of radioisotopes used in medicine and biology and operation of related equipment; lecture and lab. Enroll Info: None",3 ,ADVANCED RADIATION TREATMENT PLANNING
E C E 330,MED PHYS/​B M E  573,"
",3 ,MEDICAL IMAGE SCIENCE: MATHEMATICAL AND CONCEPTUAL FOUNDATIONS
MED PHYS/​B M E  573,MED PHYS/​B M E  574,"
Ionizing radiation use in radiation therapy to cause controlled biological effects in cancer patients. Physics of the interaction of the various radiation modalities with body-equivalent materials, and physical aspects of clinical applications; lecture and lab. Enroll Info: None",3 ,IMAGING IN MEDICINE: APPLICATIONS
PHYSICS 202,MED PHYS/​B M E  575,"
",2 ,DIAGNOSTIC ULTRASOUND IMAGING
208,MED PHYS/​B M E  578,"
Physics of x-ray diagnostic procedures and equipment, radiation safety, general imaging considerations; lecture and lab. Enroll Info: None",3 ,NON-IONIZING DIAGNOSTIC IMAGING
248,MED PHYS/​ANATOMY/​B M E/​PHMCOL-M/​PHYSICS/​RADIOL  619,"
",3 ,MICROSCOPY OF LIFE
PHYSICS/​MED PHYS  265,MED PHYS/​B M E/​CHEM  650,"
Core course covering the physics associated with magnetic resonance imaging emphasizing techniques employed in medical diagnostic imaging. Major MRI topics include: physics of MR, pulse sequences, hardware, imaging techniques, artifacts, and clinical applications. At the completion of this course, students should have an understanding of the technical and scientific details of modern magnetic resonance imaging and its use in diagnosing disease. Graduate students who have not taken ",3 ,BIOLOGICAL OPTICAL MICROSCOPY
MATH 234,MED PHYS/​NTP  651, and ,3 ,METHODS FOR NEUROIMAGING RESEARCH
PHYSICS 241,MED PHYS 662, at UW-Madison must have the equivalent coursework in order to be successful in this course. Enroll Info: None,1 credit.,RAD LAB - DIAGNOSTIC RADIOLOGICAL PHYSICS
249,MED PHYS 663,"
",1 credit.,RAD LAB - NUCLEAR MEDICINE PHYSICS
PHYSICS/​B M E/​H ONCOL/​MED PHYS  501,MED PHYS 664,"
Physical and biological aspects of the use of ionizing radiation in industrial and academic institutions; physical principles underlying shielding instrumentation, waste disposal; biological effects of low levels of ionizing radiation; lecture and lab. Enroll Info: None",1 credit.,RAD LAB - HEALTH PHYSICS
CHEM 341,M M & I 301,"
Lectures on medically important bacteria, emphasizing the process of pathogenesis and host/parasite interactions, as well as intervention strategies, immunity and genetics as they apply to the pathogens. Open to non-majors. Enroll Info: MMI 341 (or con reg), 2 sem intro biol w/lab or Biocore series 301-304; 1 sem org chem; or cons inst",2 ,PATHOGENIC BACTERIOLOGY
MICROBIO 101,M M & I 302,"
",3 ,MEDICAL MICROBIOLOGY LABORATORY
MICROBIO 303,M M & I 341,"
Lab covering procedures and aseptic techniques for isolation and identification of pathogenic microorganisms (bacteria, fungi, and viruses). Enroll Info: 2 sem intro biol w/lab or Biocore series 301-304; prev or con reg in MMI 301 or equiv",3 ,IMMUNOLOGY
ZOOLOGY/​BIOLOGY  101,M M & I/​ENTOM/​PATH-BIO/​ZOOLOGY  350,"
",3 ,PARASITOLOGY
102,M M & I/​PATH-BIO/​ZOOLOGY  351,"
Lecture, discussion. An introduction to the immune response to infectious disease. Examines the role of the host in host-parasite relationships using select microbial agents or antigens to illustrate the nonspecific and specific mechanisms of host defenses. Includes study of the nonspecific inflammatory response, the nature of microbial antigens, current concepts of antibody and cell-mediated immune reactions to infectious agents and the principles underlying the development of vaccines. Enroll Info: HS biol, chem, 1 sem of college biol; So st; to receive cr for both MMI 341  528, MMI 341 must be completed first",2 ,PARASITOLOGY LABORATORY
ZOOLOGY/​BIOLOGY/​BOTANY  152,M M & I 410,"
",2 ,MEDICAL MYCOLOGY
ZOOLOGY 153,M M & I 412,"
The biology of water-borne, food-borne, soil-borne and vector-borne parasites of animals including humans. Parasites are explored in the context of transmission, associated disease, diagnosis and treatment options, and environmental, cultural and socioeconomic drivers of disease epidemiology. Enroll Info: None",1 credit.,MEDICAL MYCOLOGY LABORATORY
